"Participant","mean_latency_congruent","mean_latency_noncongruent","mean_latency_control","InhibitionCost","percentage_resp_correct","percentage_excluded_data","block"
"087",587.458333333333,606.04,601.136363636364,18.5816666666666,0.964285714285714,12.3456790123457,"test"
"088",697.346153846154,807.642857142857,710.857142857143,110.296703296703,0.976190476190476,8.53658536585366,"test"
"089",859.576923076923,1053.85185185185,957.5,194.274928774929,1,5.95238095238095,"test"
"090",736.76,944.083333333333,720.52,207.323333333333,0.976190476190476,9.75609756097561,"test"
"091",765.785714285714,878.653846153846,745.321428571429,112.868131868132,1,2.38095238095238,"test"
"092",925.321428571429,1104.22727272727,792.307692307692,178.905844155844,0.964285714285714,6.17283950617284,"test"
"093",637.857142857143,774.807692307692,725.518518518518,136.950549450549,1,3.57142857142857,"test"
"094",540.52,618.521739130435,573.04,78.0017391304348,0.976190476190476,10.9756097560976,"test"
"095",679.703703703704,840.04,644,160.336296296296,0.976190476190476,7.3170731707317,"test"
"096",763.37037037037,863.916666666667,671.5,100.546296296296,0.976190476190476,6.09756097560976,"test"
"097",655.185185185185,663.16,635.076923076923,7.97481481481475,0.988095238095238,6.02409638554217,"test"
"098",784.4,777.545454545455,877.269230769231,-6.85454545454547,0.916666666666667,5.1948051948052,"test"
"099",559.230769230769,578.458333333333,585.36,19.2275641025641,0.94047619047619,5.06329113924051,"test"
"100",635.68,689.363636363636,592.259259259259,53.6836363636364,0.976190476190476,9.75609756097561,"test"
"101",628.363636363636,576.117647058824,621.130434782609,-52.2459893048128,0.904761904761905,18.4210526315789,"test"
"102",651.423076923077,696.739130434783,692.208333333333,45.3160535117057,0.904761904761905,3.94736842105263,"test"
"103",738.692307692308,923.458333333333,745.230769230769,184.766025641026,0.976190476190476,7.3170731707317,"test"
"104",754.434782608696,749.115384615385,796.954545454545,-5.31939799331099,0.952380952380952,11.25,"test"
"105",1146.88461538462,1399.46153846154,1076.48148148148,252.576923076923,0.988095238095238,4.81927710843374,"test"
"107",588.64,661.375,710.56,72.735,0.952380952380952,7.5,"test"
"108",540.884615384615,607.047619047619,598.038461538462,66.1630036630037,0.952380952380952,8.75,"test"
"109",573.04,564.913043478261,592.25,-8.12695652173909,0.964285714285714,11.1111111111111,"test"
"110",547.416666666667,570.952380952381,529.64,23.5357142857143,0.928571428571429,10.2564102564103,"test"
"111",616.153846153846,776.115384615385,708.961538461538,159.961538461538,0.988095238095238,6.02409638554217,"test"
"112",614.142857142857,733.708333333333,628.730769230769,119.565476190476,0.964285714285714,3.70370370370371,"test"
"113",586.16,605.958333333333,577.8,19.7983333333334,0.964285714285714,8.64197530864198,"test"
"114",766.444444444444,871.25,725.173913043478,104.805555555556,0.916666666666667,9.09090909090909,"test"
"115",984.785714285714,1046,982.607142857143,61.2142857142857,1,1.19047619047619,"test"
"116",559.703703703704,679.565217391304,581.269230769231,119.861513687601,1,9.52380952380952,"test"
"117",708.307692307692,763.772727272727,606.565217391304,55.465034965035,0.904761904761905,6.57894736842105,"test"
"118",864.56,978.035714285714,1004.19230769231,113.475714285714,0.988095238095238,4.81927710843374,"test"
"119",949.75,1067.29166666667,893.035714285714,117.541666666667,0.964285714285714,6.17283950617284,"test"
"120",694.08,756.521739130435,691.782608695652,62.4417391304347,0.928571428571429,8.97435897435898,"test"
"121",664.576923076923,727.8,676,63.2230769230769,0.988095238095238,6.02409638554217,"test"
"122",592.653846153846,676.961538461538,670.166666666667,84.3076923076923,0.976190476190476,7.3170731707317,"test"
"123",588.62962962963,732.961538461538,642.56,144.331908831909,0.952380952380952,2.5,"test"
"124",606.307692307692,634.863636363636,638.56,28.5559440559441,0.952380952380952,8.75,"test"
"125",664.740740740741,851.347826086957,773.777777777778,186.607085346216,1,8.33333333333334,"test"
"126",625.08,791,709.416666666667,165.92,0.976190476190476,9.75609756097561,"test"
"127",722.615384615385,846.608695652174,724.478260869565,123.993311036789,0.952380952380952,10,"test"
"128",664.88,620.307692307692,682.230769230769,-44.5723076923077,0.964285714285714,4.93827160493827,"test"
"129",681.541666666667,867.521739130435,769.464285714286,185.980072463768,0.964285714285714,7.40740740740741,"test"
"130",625.192307692308,853.48,602.48,228.287692307692,0.94047619047619,3.79746835443038,"test"
"131",905.461538461538,860.083333333333,791.916666666667,-45.3782051282051,0.952380952380952,7.5,"test"
"132",619.130434782609,633.25,652.25,14.1195652173913,0.976190476190476,8.53658536585366,"test"
"133",642.238095238095,636.52,571.608695652174,-5.7180952380952,0.916666666666667,10.3896103896104,"test"
"134",618.964285714286,707,641.608695652174,88.0357142857143,1,5.95238095238095,"test"
"135",704.384615384615,748.5,790.035714285714,44.1153846153846,0.928571428571429,2.56410256410257,"test"
"136",570.961538461538,613.208333333333,603.28,42.2467948717949,0.928571428571429,3.84615384615384,"test"
"137",694.32,987.423076923077,674.518518518518,293.103076923077,0.988095238095238,6.02409638554217,"test"
"138",563.208333333333,674.333333333333,610.64,111.125,0.916666666666667,9.09090909090909,"test"
"139",676.52,647.954545454545,641.952380952381,-28.5654545454545,0.928571428571429,12.8205128205128,"test"
