"Participant","prob_stop","ssd","stop_rt","nonstop_rt","ssrt_mean","ssrt_integration"
"079",45.2830188679245,254.716981132075,394.333333333333,463.63125,208.914268867925,182.283018867925
"080",47.1698113207547,160.377358490566,366.2,355.83064516129,189.204731061673,187.622641509434
"081",42.3076923076923,424.038461538462,508.909090909091,658.857142857143,234.818681318681,180.961538461538
"082",50,176.851851851852,349.296296296296,359.636942675159,182.540553211439,171.148148148148
"083",66.0377358490566,81.1320754716981,339.714285714286,377.993506493507,291.849174528302,302.867924528302
"084",51.8518518518519,162.037037037037,333.928571428571,373.094936708861,210.365478686233,196.962962962963
"085",49.0566037735849,256.603773584906,391.576923076923,475.03164556962,216.846226415094,181.396226415094
"086",50,204.807692307692,379.038461538462,435.333333333333,229.41591017678,214.192307692308
"087",47.1698113207547,123.584905660377,339.84,383.365384615385,259.546344339623,234.415094339623
"088",49.0566037735849,275.471698113208,474.884615384615,529.51875,254.047051886792,232.528301886792
"089",50.9433962264151,328.301886792453,436.333333333333,555.8125,227.510613207547,208.698113207547
"090",50,156.730769230769,363.423076923077,359.817610062893,201.983516483516,197.269230769231
"091",53.8461538461538,297.115384615385,411.892857142857,495.40625,196.679646440516,168.884615384615
"092",38.8888888888889,725,788.333333333333,914.281481481481,184.735294117647,217
"093",44.2307692307692,454.807692307692,551,669.9,213.391065456283,171.192307692308
"094",54.7169811320755,112.264150943396,321.275862068966,379.948717948718,262.154599056604,259.735849056604
"095",50.9433962264151,337.735849056604,435.740740740741,506.692307692308,165.716981132075,134.264150943396
"096",50.9433962264151,192.452830188679,359,396.5875,204.134669811321,182.547169811321
"097",58.4905660377358,103.77358490566,339.548387096774,371.581699346405,265.137807499403,269.22641509434
"098",49.0566037735849,347.169811320755,459.192307692308,570.553459119497,223.383647798742,206.830188679245
"099",50.9433962264151,205.660377358491,367.962962962963,413.29375,207.633372641509,193.339622641509
"100",47.1698113207547,216.981132075472,401.8,415.515923566879,195.712617924528,180.018867924528
"101",42.5925925925926,515.740740740741,610.608695652174,758.620253164557,242.879512423816,209.259259259259
"102",46.1538461538462,249.038461538462,390.75,475.844720496894,226.806258958433,185.961538461538
"103",50.9433962264151,262.264150943396,399.888888888889,448.679245283019,185.248349056604,160.735849056604
"104",39.622641509434,890.566037735849,1016.2380952381,1073.82677165354,183.260733917694,191.433962264151
"105",48.1481481481482,263.888888888889,410.307692307692,485.096153846154,218.136268343816,183.111111111111
"107",55.5555555555556,79.6296296296296,298.966666666667,328.006578947368,244.873515024458,251.37037037037
"108",50,186.111111111111,348.185185185185,396.094936708861,208.813417190776,197.888888888889
"109",54.7169811320755,133.018867924528,353.793103448276,346.311258278146,212.562382075472,214.981132075472
"110",47.1698113207547,343.396226415094,454.44,501.875,158.478773584906,158.603773584906
"111",50,245.37037037037,384.222222222222,458.746835443038,212.396925227114,191.62962962963
"112",50,319.444444444444,363,447.134328358209,126.407407407407,130.555555555556
"113",50.9433962264151,144.339622641509,372.37037037037,392.961538461538,245.441627358491,247.660377358491
"114",44.4444444444444,343.518518518519,518.791666666667,655.587786259542,312.069267741023,303.481481481481
"115",47.1698113207547,205.660377358491,333.12,436.803797468354,228.714622641509,190.339622641509
"116",45.2830188679245,488.679245283019,562.125,721.264516129032,232.585270846013,219.320754716981
"117",50.9433962264151,216.981132075472,374.740740740741,417.095541401274,198.318867924528,187.018867924528
"118",45.2830188679245,351.88679245283,489.541666666667,606.03164556962,254.14485311679,196.11320754717
"119",47.1698113207547,244.339622641509,397.12,448.860759493671,202.541627358491,161.660377358491
"120",46.2962962962963,463.888888888889,544.92,638.540880503145,174.651991614256,136.111111111111
"121",50.9433962264151,245.283018867925,410.925925925926,474.289308176101,229.473231132075,213.716981132075
"122",46.1538461538462,354.807692307692,444.625,566.888198757764,212.080506450072,181.192307692308
"123",50,137.037037037037,352.592592592593,360.929032258065,223.019924988279,212.962962962963
"124",48.0769230769231,270.192307692308,411.76,498.41610738255,227.041025641026,197.807692307692
"125",49.0566037735849,230.188679245283,382.346153846154,412.716981132075,184.548820754717,166.811320754717
"126",51.8518518518519,417.592592592593,456,663.21568627451,233.248171738618,249.407407407407
"127",52.8301886792453,211.320754716981,367.821428571429,447.610738255034,227.258863117414,200.679245283019
"128",52.8301886792453,324.528301886792,424.642857142857,529.0625,204.534198113208,216.471698113208
"129",51.8518518518519,100.925925925926,334.892857142857,342.710691823899,241.784765897973,242.074074074074
"130",72.2222222222222,75,349.692307692308,354.254901960784,274.811320754717,297
"131",43.3962264150943,316.981132075472,455.565217391304,560.10625,243.125117924528,176.018867924528
"132",37.7358490566038,645.283018867925,778.05,915.258064516129,269.975045648205,206.716981132075
"133",55.5555555555556,100,313.9,287.5,246.540880503145,240
"134",47.1698113207547,279.245283018868,468.92,531.551020408163,244.090243296922,221.754716981132
"135",50,243.518518518519,407.222222222222,454.114649681529,208.468902865129,193.481481481481
"136",46.2962962962963,439.814814814815,547.24,621.417721518987,181.602906704173,155.185185185185
"137",49.0566037735849,298.11320754717,423.461538461538,488.617834394904,189.836159541438,142.88679245283
"138",48.1481481481482,236.111111111111,381.692307692308,436.301886792453,200.190775681342,173.888888888889
"139",49.0566037735849,313.207547169811,482.692307692308,577.6875,264.479952830189,247.792452830189
"140",50.9433962264151,237.735849056604,383.148148148148,450.21568627451,205.057900943396,174.264150943396
"141",37.7358490566038,868.867924528302,706.5,901.291666666667,23.2454775335539,179.132075471698
"142",50,187.5,370.692307692308,400.6875,212.257763975155,205.5
"143",50,158.333333333333,498.148148148148,533.837662337662,372.322717622081,323.666666666667
"144",47.1698113207547,332.075471698113,466.32,532.36875,200.293278301887,175.924528301887
"145",46.2962962962963,275,447.88,502.28025477707,227.389937106918,193
"146",53.8461538461538,100.961538461538,313,344.090277777778,232.858337314859,233.038461538462
"147",52.8301886792453,109.433962264151,316.035714285714,339.125,229.691037735849,229.566037735849
"148",46.1538461538462,347.115384615385,473.125,569.389937106918,220.378365384615,165.884615384615
"149",52.8301886792453,105.660377358491,391.785714285714,403.618421052632,296,275.339622641509
"150",50,287.962962962963,411.259259259259,497.689873417722,209.726910454759,189.037037037037
"151",51.9230769230769,122.115384615385,316.222222222222,358.43949044586,235.443621595796,232.884615384615
"152",52.8301886792453,151.88679245283,370.964285714286,389.138157894737,231.24445754717,225.11320754717
"153",51.8518518518519,195.37037037037,341.678571428571,395.509433962264,200.139063591894,181.62962962963
"154",56.6037735849057,99.0566037735849,361.2,377.471337579618,277.999646226415,279.943396226415
"155",44.4444444444444,323.148148148148,498.291666666667,613.367088607595,290.218940459447,233.851851851852
"156",52.8301886792453,188.679245283019,483.642857142857,518.922077922078,327.519472665699,321.320754716981
"157",50.9433962264151,184.905660377358,345,354.817610062893,169.925589622642,163.094339622642
"158",50.9433962264151,196.22641509434,354.481481481481,401.088050314465,203.84858490566,195.77358490566
"159",49.0566037735849,202.830188679245,392.923076923077,444.9875,242.157311320755,223.169811320755
"160",60.377358490566,95.2830188679245,340.6875,332.807692307692,236.279481132075,240.716981132075
"161",47.1698113207547,343.396226415094,459.36,547.1125,203.716273584906,169.603773584906
"162",38.4615384615385,679.807692307692,820.15,862.445255474453,182.63756316676,171.192307692308
"164",47.1698113207547,358.490566037736,522.44,618.73125,260.240683962264,255.509433962264
"165",44.4444444444444,695.37037037037,777.541666666667,860.236842105263,164.866471734893,180.62962962963
"166",50,129.62962962963,348.62962962963,380.324840764331,250.060243788092,243.37037037037
"167",56.6037735849057,160.377358490566,523.266666666667,428.663043478261,268.285684987695,497.622641509434
"168",58.4905660377358,130.188679245283,337.709677419355,365.5,232.836320754717,233.811320754717
"169",46.2962962962963,552.777777777778,601.64,760.422077922078,207.6443001443,159.222222222222
"170",57.4074074074074,118.518518518519,339.483870967742,350.636363636364,229.632424877708,237.481481481481
"171",77.3584905660377,100.943396226415,393.390243902439,365.664516129032,262.556603773585,298.056603773585
"172",67.9245283018868,71.6981132075472,325.166666666667,327.821917808219,249.258136792453,270.301886792453
"173",47.1698113207547,167.924528301887,352.64,421.483660130719,251.707729762629,232.075471698113
"174",70.3703703703704,68.5185185185185,332.578947368421,350.24,273.965758211041,292.481481481481
"175",45.2830188679245,532.075471698113,656.833333333333,727.848101265823,195.77262956771,167.924528301887
"176",47.1698113207547,483.018867924528,528.24,681.835443037975,197.018867924528,242.981132075472
"177",47.1698113207547,311.320754716981,458,540.70253164557,228.997995283019,207.679245283019
"178",72.2222222222222,69.4444444444444,318.74358974359,320.697183098592,239.876310272537,281.555555555556
"179",50.9433962264151,98.1132075471698,327.111111111111,348,246.434563153467,248.88679245283
"180",50,177.884615384615,350.730769230769,387.56050955414,206.171285236503,188.115384615385
