"Participant","switchCost","mean_latency_switch","mean_latency_noswitch","percentage_resp_correct","percentage_excluded_data"
"079",-18.4721967963386,970.147368421053,988.619565217391,0.96,1.04166666666666
"080",43.7365362262689,671.275862068965,627.539325842697,0.95,5.26315789473685
"081",53.3908045977012,500,446.609195402299,0.94,10.6382978723404
"082",46.4354005167959,519.546511627907,473.111111111111,0.96,6.25
"083",186.468289637953,760.14606741573,573.677777777778,0.96,4.6875
"084",51.3935580524345,567.573333333333,516.179775280899,0.935,10.6951871657754
"085",34.1635455680399,613.719101123595,579.555555555556,0.97,5.67010309278351
"086",201.604395604396,1002.95604395604,801.351648351648,0.955,2.61780104712042
"087",366.073588205897,1049.11956521739,683.045977011494,0.97,7.21649484536082
"088",152.472678916828,858.738636363636,706.265957446809,0.97,4.12371134020618
"089",86.5483870967741,874.247311827957,787.698924731183,0.975,2.56410256410257
"090",73.2863947239863,792.449438202247,719.163043478261,0.955,3.66492146596858
"091",45.4420995670995,494.22619047619,448.784090909091,0.97,9.79381443298969
"092",138.399953249182,1075.20430107527,936.804347826087,0.945,0
"093",202.039402173913,990.445652173913,788.40625,0.98,2.04081632653061
"094",68.3433794466403,655.647727272727,587.304347826087,0.96,5.20833333333334
"095",58.4610717896866,612.06976744186,553.608695652174,0.98,7.6530612244898
"096",251.05543071161,948.988764044944,697.933333333333,0.965,5.18134715025906
"097",-25.2942577030813,622.717647058824,648.011904761905,0.97,11.340206185567
"098",411.801703877791,840.986486486486,429.184782608696,0.94,10.6382978723404
"099",178.597802197802,685.4,506.802197802198,0.95,5.78947368421052
"100",209.347918043622,825.741176470588,616.393258426966,0.955,7.32984293193717
"101",-45.9296296296296,730.37037037037,776.3,0.95,7.89473684210527
"102",127.014574314574,550.87012987013,423.855555555556,0.935,9.09090909090909
"103",153.647374847375,791.736263736264,638.088888888889,0.96,3.64583333333334
"104",326.005555555555,1381.75,1055.74444444444,0.965,8.80829015544041
"105",446.622756037711,1546.71264367816,1100.08988764045,0.96,6.77083333333334
"107",518.498013090229,1268.3152173913,749.817204301075,0.97,3.60824742268041
"108",21.1109439124487,497.541176470588,476.43023255814,0.94,7.4468085106383
"109",47.0618854829381,482.842105263158,435.78021978022,0.945,10.0529100529101
"110",40.3170163170163,388.589743589744,348.272727272727,0.94,10.1063829787234
"111",85.0760079312624,595.134831460674,510.058823529412,0.955,6.80628272251309
"112",102.801645606818,588.265060240964,485.463414634146,0.9,6.66666666666667
"113",144.021435354769,911.395061728395,767.373626373626,0.955,8.90052356020943
"114",143.525470653378,924.43023255814,780.904761904762,0.915,4.91803278688525
"115",75.9904239019407,836.147727272727,760.157303370787,0.965,6.73575129533679
"116",72.4494382022473,750.23595505618,677.786516853933,0.97,6.18556701030928
"117",168.318681318681,689.428571428571,521.10989010989,0.96,3.64583333333334
"118",36.8641715727501,871.036585365854,834.172413793103,0.945,8.994708994709
"119",130.183512544803,914.688888888889,784.505376344086,0.96,3.125
"120",78.064449064449,633.756756756757,555.692307692308,0.925,9.18918918918918
"121",59.0009990009991,942.363636363636,883.362637362637,0.945,3.17460317460317
"122",76.2526542324247,502.158536585366,425.905882352941,0.96,10.9375
"123",114.673913043478,507.25,392.576086956522,0.915,6.01092896174863
