"Participant","score_mean_corrected","score_med_corrected","score_mean_raw","score_med_raw","percentage_resp_correct","percentage_excluded_data"
"156",524.720930232558,511.5,530.080459770115,512,0.956043956043956,1.14942528735632
"157",364.732558139535,356,370.067415730337,356,0.978021978021978,3.37078651685393
"158",432.941860465116,425.5,435.425287356322,426,0.956043956043956,1.14942528735632
"159",416.711111111111,413.5,416.711111111111,413.5,0.989010989010989,0
"160",471.144444444444,469.5,471.144444444444,469.5,0.989010989010989,0
"161",549.781609195402,543,564.788888888889,544.5,0.989010989010989,3.33333333333333
"162",420.988888888889,419.5,420.988888888889,419.5,0.989010989010989,0
"164",499,484,499,484,0.989010989010989,0
"165",394.804597701149,395,396.670454545455,395,0.967032967032967,1.13636363636364
"166",401.471264367816,399,406.23595505618,400,0.978021978021978,2.24719101123596
"167",391.103448275862,388,395.911111111111,391,0.989010989010989,3.33333333333333
"168",389.477272727273,391,391.921348314607,391,0.978021978021978,1.12359550561798
"169",443.602272727273,447,450.144444444444,450,0.989010989010989,2.22222222222223
"170",416.56976744186,409.5,419,410,0.956043956043956,1.14942528735632
"171",493.16091954023,486,496.829545454545,486.5,0.967032967032967,1.13636363636364
"172",394.704545454545,394.5,394.704545454545,394.5,0.967032967032967,0
"173",453.114942528736,446,453.114942528736,446,0.956043956043956,0
"174",399.666666666667,393,399.666666666667,393,0.989010989010989,0
"175",481.779069767442,473.5,490.122222222222,475,0.989010989010989,4.44444444444444
"176",408.27380952381,402,420.067415730337,408,0.978021978021978,5.61797752808989
"177",356.235294117647,346,360.363636363636,349.5,0.967032967032967,3.40909090909091
"178",395.211111111111,391.5,395.211111111111,391.5,0.989010989010989,0
"179",417.977011494253,420,417.977011494253,420,0.956043956043956,0
"180",502.61797752809,490,509.044444444444,491,0.989010989010989,1.11111111111111
