"Participant","Sex","Age","NativeLanguage","EducationLevel","VGexp","Handedness","Inclusion","antisaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","SF","Flight","Bonus","Mine","Fortress","SF_multi_01","SF_multi_02","SF_multi_03","SF_multi_04","SF_multi_05","keeptrack_asin","dualnback_asin","lettermemory_asin","zscore_antisaccade","zscore_categoryswitch","zscore_colorshape","zscore_dualnback","zscore_keeptrack","zscore_lettermemory","zscore_stopsignal","zscore_stroop","zscore_numberletter","zscore_SF","zscore_inhibition","zscore_WM","zscore_shifting","zscore_EF"
12,"woman",23,"french",17,3,"right-handed",1,446.730337078652,255.781746031746,39.4212880143114,0.9,0.857142857142857,0.833333333333333,208.518518518519,147.033816425121,502.127213114754,1620,-520,400,990,750,-410,955,1240,1330,1620,1.18319964013972,1.27540813090181,1.15026199151093,0.1564888681416,-0.585783335891507,0.772320455722353,0.217562746529448,0.424445569992906,0.557952757584629,-0.00556519308861623,-0.663459239344747,-0.45998038033575,0.102296807402266,-0.170845188097254,0.399987024702328,-0.0911477535016346,0.0459980277011462
13,"man",21,"french",14,6,"right-handed",1,406.738636363636,110.814814814815,215.864980449658,0.9,0.857142857142857,0.416666666666667,237.074074074074,122.681818181818,174.090136054422,1665,-185,600,1000,250,1380,190,1495,935,1665,1.18319964013972,1.27540813090181,0.701674123787604,0.797341763251463,0.67319884992851,-0.832757524783907,0.217562746529448,0.424445569992906,-1.62861885997676,-0.633502814353019,-0.36500111050215,0.983176231164516,0.138435771576591,-0.067054053867902,-0.328870181151469,0.274539185436373,-0.0404616831943326
14,"man",23,"french",17,5.5,"right-handed",1,404.658536585366,65.5057471264367,45.5782392894463,0.916666666666667,0.678571428571429,0.833333333333333,195.301886792453,89.1153846153845,304.895457033388,2840,-150,800,440,1750,1185,1815,2070,2095,2840,0.968001774042632,1.30738282468938,1.15026199151093,0.830674628350676,1.06669072146727,0.71631172691846,0.461165821794085,-1.16997431728614,0.557952757584629,0.285068980392875,0.0463891521803875,0.40771517206146,1.08206428057285,0.387377586974646,-0.0502852459691425,0.730239206815732,0.355777182607078
15,"man",20,"french",14,4.5,"left-handed",1,540.277777777778,43.6441379310345,52.8206851971559,0.95,0.785714285714286,1,151.037037037037,115.642512077295,358.665817770232,3680,-100,700,1080,2000,2050,1980,2870,3340,3680,1.08952095285255,1.38562501074904,1.5707963267949,-1.34257586604819,1.25655041084143,0.650428439785756,0.948371972323347,-0.213322384918712,1.43258140460919,1.25845450626596,-0.278727363792925,0.171159437887976,1.75665827849359,-0.120949574525051,0.722543664004608,0.692712762838386,0.431435617439314
18,"woman",24,"french",17,3,"right-handed",1,453.103448275862,109.594861660079,38.7519415967692,0.925,0.857142857142857,0.916666666666667,300.358490566038,42.88,87.8333333333334,585,-465,-100,900,250,-620,-410,250,585,-140,1.18319964013972,1.32476043658762,1.27795355506632,0.0543620096042845,0.683793675082456,0.778409385177972,0.582967359426398,0.424445569992906,0.995267081096911,-2.02512924857727,0.613050098881976,1.36265185705823,-0.728899368607209,-0.452572380030338,0.667560003505405,0.941618305772885,0.385535309749317
19,"man",20,"french",14,6,"right-handed",1,493.966292134831,350.535714285714,217.741935483871,0.9,0.821428571428571,0.833333333333333,199.740740740741,145.076923076923,320.129032258065,1405,-505,50,860,1000,350,1405,425,1235,440,1.13450940007873,1.27540813090181,1.15026199151093,-0.600450647052998,-1.40868520093125,-0.849831862518704,0.217562746529448,0.105561592537092,0.557952757584629,0.187458433681384,-0.639475551385657,0.340697031919223,-0.0703671325417316,-0.350822588252424,0.29369236555039,-0.639273343843578,-0.232134522181871
20,"man",20,"french",15,3,"left-handed",1,433.965517241379,324.818646232439,44.9178571428571,0.85,0.642857142857143,0.75,144.814814814815,275.656923076923,96.8722548716363,140,-1100,100,390,750,-1605,-320,-1035,-550,140,0.930274014115472,1.19369195874213,1.0471975511966,0.361040602676877,-1.18534233039656,0.72231910994009,-0.513246479264453,-1.48885829474196,0.120638434072353,1.39528138093836,-2.23986423714717,1.32288629306854,-1.08627356988665,-0.161180751177312,-0.627155446644685,0.286621024204021,-0.167238391205992
21,"man",26,"french",14,9,"right-handed",1,440.730337078652,212.510344827586,23.5475177304965,0.916666666666667,0.857142857142857,0.833333333333333,173.111111111111,94.1196581196582,406.330367074527,2190,-100,750,1040,500,1745,1530,1940,2190,2080,1.18319964013972,1.30738282468938,1.15026199151093,0.252636751375169,-0.209987816084396,0.916721418990008,0.461165821794085,0.424445569992906,0.557952757584629,0.773044879451968,-0.014943231773478,-0.0385345701159499,0.560057020277049,0.336912799684553,0.48118804979054,0.222733010929887,0.346944620134993
22,"man",21,"french",16,6.5,"right-handed",1,442.604651162791,28.5148148148148,87.6684995112414,0.983333333333333,0.714285714285714,1,184.547169811321,19.6574074074074,30.8143800440205,1605,-525,800,830,500,850,1605,750,1320,1390,1.00685368543427,1.5707963267949,1.5707963267949,0.222601529424363,1.38794277823818,0.333423855193961,1.43557812285261,-0.851090339830338,1.43258140460919,0.521565566332705,0.897666230289805,1.61349935319405,0.0902504860108239,0.547277775348958,0.672356395877152,1.11162199554206,0.777085388922725
23,"man",32,"french",15,5.5,"right-handed",1,425.701149425287,507.787545787546,109.282051282051,0.458333333333333,0.821428571428571,0.333333333333333,201.111111111111,58.3369565217392,303.986943164363,-640,-1320,-50,230,500,-845,-1030,-1345,-990,-640,1.13450940007873,0.75147383620274,0.615479708670387,0.493474181307023,-2.77435703302737,0.136809085070793,-3,0.105561592537092,-2.06593318348904,0.157323943426161,0.423609615395231,0.411712061097519,-1.71268228224161,0.358135913376138,-1.65345719698398,-0.741945295619685,-0.67908885974251
