"Participant","Sex","Age","NativeLanguage","EducationLevel","VGexp","Handedness","Inclusion","antisaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","SF","Flight","Bonus","Mine","Fortress","SF_multi_01","SF_multi_02","SF_multi_03","SF_multi_04","SF_multi_05"
152,"man",23,"french",16,6.5,"right-handed",1,474.795454545455,103.333333333333,21.0705882352941,0.858333333333333,0.607142857142857,0.75,225.11320754717,51.1666666666667,333.087878787879,1910,-100,650,860,500,1365,1910,1285,1850,1150
153,"man",21,"french",16,4.5,"right-handed",1,361.117647058824,-50.8311111111111,6.52574484339192,0.925,0.892857142857143,0.833333333333333,181.62962962963,34.6183574879227,240.072281167109,2350,-150,400,850,1250,1310,2340,1880,2315,2350
154,"woman",22,"french",17,3,"right-handed",1,438.136363636364,91.4285714285714,46.9299712568592,0.916666666666667,0.785714285714286,0.666666666666667,279.943396226415,96.2008547008547,410.061764705882,-285,-1275,100,390,500,-870,-310,-1235,-380,-285
155,"woman",21,"french",16,2,"right-handed",1,698.75,181.34962962963,101.636052760137,0.908333333333333,0.821428571428571,0.916666666666667,233.851851851852,203.286324786325,199.747767857143,1220,-420,250,890,500,200,1000,1220,480,-385
157,"woman",21,"french",15,3.5,"right-handed",1,364.732558139535,228.476923076923,23.8267020335986,0.916666666666667,0.892857142857143,0.916666666666667,163.094339622642,10.9404186795491,104.847936687394,1640,-50,250,940,500,770,325,1130,1390,1640
158,"woman",22,"french",17,1,"right-handed",1,432.941860465116,232.269230769231,82.6822642582848,0.891666666666667,0.892857142857143,0.833333333333333,195.77358490566,129.846560846561,310.509533898305,-900,-2160,500,510,250,-1925,-1090,-1160,-900,-1160
159,"woman",24,"other",17,6,"right-handed",1,416.711111111111,283.409961685824,-7.38620268620269,0.9,0.785714285714286,0.583333333333333,223.169811320755,208.388148148148,324.463481436397,320,-1410,400,830,500,-585,-1255,-60,-920,320
160,"man",24,"french",17,5.5,"right-handed",1,471.144444444444,167.302564102564,37.0213657876944,0.941666666666667,0.785714285714286,0.75,240.716981132075,45.8657407407406,183.626984126984,1860,-880,400,840,1500,1260,920,1130,1550,1860
161,"woman",34,"french",16,4,"right-handed",1,549.781609195402,165.89010989011,207.923395445135,0.833333333333333,0.857142857142857,0.583333333333333,169.603773584906,84.0270655270656,606.548269581057,1460,-300,350,910,500,285,335,370,1460,570
162,"woman",20,"french",15,4.5,"right-handed",1,420.988888888889,122.986206896552,124.296511627907,0.85,0.857142857142857,0.75,171.192307692308,90.5454545454545,315.968867924528,470,-1170,650,740,250,-1730,-750,470,-780,195
164,"man",29,"french",17,6,"right-handed",1,499,117.793103448276,40.6025369978858,0.908333333333333,0.964285714285714,0.833333333333333,255.509433962264,172.019841269841,409.5,1590,-150,550,940,250,20,270,1590,155,1280
165,"woman",28,"french",16,4.5,"right-handed",1,394.804597701149,325.594202898551,76.9634387351779,0.841666666666667,0.928571428571429,0.833333333333333,180.62962962963,85.5833333333334,1195.19355766465,1970,-50,650,870,500,960,510,1110,1970,1110
166,"man",39,"french",20,7,"right-handed",1,401.471264367816,270.166666666667,181.705542421854,0.9,0.892857142857143,0.416666666666667,243.37037037037,70.0527065527066,555.424046920821,1480,-150,650,480,500,1050,1080,1480,1245,1070
167,"woman",24,"other",17,4.5,"left-handed",1,391.103448275862,32.2685185185185,14.9677902621723,0.925,0.857142857142857,0.666666666666667,497.622641509434,36.6766666666666,375.944578961528,1740,-50,0,1040,750,530,1235,1370,1030,1740
168,"man",29,"french",18,3.5,"right-handed",1,389.477272727273,272.286206896552,174.178472130279,0.958333333333333,0.892857142857143,0.833333333333333,233.811320754717,83.8963636363636,669.854206198608,2890,-190,150,680,2250,2890,705,1245,1930,2145
169,"man",21,"french",15,4.5,"right-handed",1,443.602272727273,153.580049261084,96.0915943677998,0.916666666666667,0.964285714285714,0.833333333333333,159.222222222222,47.0324074074074,179.413725490196,5160,-100,850,910,3500,3185,3810,3850,4810,5160
170,"man",23,"french",16,6,"right-handed",1,416.56976744186,330.443167305236,106.334811529934,0.958333333333333,0.821428571428571,0.916666666666667,237.481481481481,11.0057142857144,316.228389154705,3335,-35,400,970,2000,1400,2210,2390,2365,3335
171,"man",22,"french",16,2,"right-handed",1,493.16091954023,38.5222222222222,-14.4302907369845,0.916666666666667,0.964285714285714,1,298.056603773585,161.297777777778,270.46131147541,1560,-50,0,860,750,1145,840,905,-1025,1560
172,"man",23,"french",17,8,"right-handed",1,394.704545454545,250.266666666667,63.9541624106231,0.9,0.964285714285714,0.833333333333333,270.301886792453,49.7037037037037,286.480780101752,2330,-100,250,930,1250,1045,1150,2080,2330,2315
174,"man",24,"french",17,7,"right-handed",1,399.666666666667,85.1258741258741,134.835515976951,0.925,0.75,0.666666666666667,292.481481481481,9.51851851851859,698.784457478006,2970,-350,650,670,2000,2780,2350,2090,2970,2590
175,"woman",19,"french",15,3,"right-handed",1,481.779069767442,301.125661375661,82.5231157186887,0.95,0.75,0.833333333333333,167.924528301887,97.1644444444445,247.637627118644,1805,-275,1200,630,250,770,790,-275,830,1805
176,"man",23,"french",17,2.5,"right-handed",1,408.27380952381,334.467980295567,11.4561056920608,0.866666666666667,0.857142857142857,0.833333333333333,242.981132075472,9.74461538461537,779.361293859649,1305,-555,300,810,750,1305,475,-745,805,750
178,"man",20,"french",16,6,"left-handed",1,395.211111111111,6.29100529100538,48.3020833333333,0.891666666666667,0.678571428571429,0.666666666666667,281.555555555556,128.031468531469,549.557142857143,2355,-135,350,1140,1000,750,1470,2330,2355,1420
179,"man",23,"french",17,2,"right-handed",1,417.977011494253,33.2413793103449,238.096861681519,0.75,0.928571428571429,0.583333333333333,248.88679245283,24.1643356643357,293.054402515723,1395,-325,400,820,500,745,1095,1395,1070,925
180,"man",20,"french",14,4,"right-handed",1,502.61797752809,353.104285714286,169.057031576019,0.883333333333333,0.75,0.666666666666667,188.115384615385,86.8772727272727,290.211147540984,3460,-150,950,1160,1500,1960,3300,2490,3260,3460
