"Participant","Sex","Age","NativeLanguage","EducationLevel","VGexp","Handedness","Inclusion","antisaccade","categoryswitch","colorshape","dualnback","keeptrack","lettermemory","stopsignal","stroop","numberletter","SF","Flight","Bonus","Mine","Fortress","SF_mono_01","SF_multi_01","SF_mono_02","SF_multi_02","SF_mono_03","SF_multi_03","SF_mono_04","SF_multi_04","SF_mono_05","SF_multi_05","keeptrack_asin","dualnback_asin","lettermemory_asin","zscore_antisaccade","zscore_categoryswitch","zscore_colorshape","zscore_dualnback","zscore_keeptrack","zscore_lettermemory","zscore_stopsignal","zscore_stroop","zscore_numberletter","zscore_SF","zscore_inhibition","zscore_WM","zscore_shifting","zscore_EF"
15,"man",20,"french",14,4.5,"left-handed",1,540.277777777778,43.6441379310345,52.8206851971559,0.95,0.785714285714286,1,151.037037037037,115.642512077295,358.665817770232,3680,-100,700,1080,2000,1500,2050,2250,1980,3250,2870,4500,3340,5150,3680,1.08952095285255,1.38562501074904,1.5707963267949,-1.28131051896141,1.2679654222648,0.652464370714967,1.07902930757237,-0.324332020769649,1.95715360966112,1.25419164735455,-0.218324357594794,0.208340564567557,1.74143466112518,-0.0818144097338845,0.903950298821278,0.70959011918244,0.510575336089944
19,"man",20,"french",14,6,"right-handed",1,493.966292134831,350.535714285714,217.741935483871,0.9,0.821428571428571,0.833333333333333,199.740740740741,145.076923076923,320.129032258065,1405,-505,50,860,1000,880,350,1490,1405,1420,425,2165,1235,2645,440,1.13450940007873,1.27540813090181,1.15026199151093,-0.558795222015047,-1.42061837576791,-0.843822201813494,0.129245446841858,-0.0492069971747833,0.349447756183035,0.180630578422123,-0.566929836202734,0.368711589880876,-0.0365512541451249,-0.315031493265219,0.143162068616703,-0.631909662566844,-0.26792636240512
20,"man",20,"french",15,3,"left-handed",1,433.965517241379,324.818646232439,44.9178571428571,0.85,0.642857142857143,0.75,144.814814814815,275.656923076923,96.8722548716363,140,-1100,100,390,750,230,-1605,-75,-320,195,-1035,745,-550,995,140,0.930274014115472,1.19369195874213,1.0471975511966,0.377289576114431,-1.19531896115958,0.724164624515438,-0.574936177474755,-1.29820021313436,-0.0445683563584275,1.39134621737785,-2.11344977156682,1.2977957836392,-1.02518957626246,-0.114937992691514,-0.639234915655849,0.275547148998353,-0.159541919783003
21,"man",26,"french",14,9,"right-handed",1,440.730337078652,212.510344827586,23.5475177304965,0.916666666666667,0.857142857142857,0.833333333333333,173.111111111111,94.1196581196582,406.330367074527,2190,-100,750,1040,500,2000,1745,1780,1530,1915,1940,1980,2190,2330,2080,1.18319964013972,1.30738282468938,1.15026199151093,0.271750188948166,-0.21142007697289,0.918052021424572,0.404784440082555,0.248556190300274,0.349447756183035,0.767619482271873,0.0365808553889343,0.00998430466067871,0.576951578156937,0.358650175536324,0.334262795521955,0.238872083037453,0.310595018031911
22,"man",21,"french",16,6.5,"right-handed",1,442.604651162791,28.5148148148148,87.6684995112414,0.983333333333333,0.714285714285714,1,184.547169811321,19.6574074074074,30.8143800440205,1605,-525,800,830,500,205,850,1025,1605,880,750,1710,1320,2145,1390,1.00685368543427,1.5707963267949,1.5707963267949,0.242508617915156,1.40050882240837,0.33629943411958,2.67472615268675,-0.829880340422405,1.95715360966112,0.515537885412994,0.91847207271605,1.5726959595446,0.119755199944573,0.558839525348067,1.26733314064182,1.10316807202418,0.976446912671357
23,"man",32,"french",15,5.5,"right-handed",1,425.701149425287,507.787545787546,109.282051282051,0.458333333333333,0.821428571428571,0.333333333333333,201.111111111111,58.3369565217392,303.986943164363,-640,-1320,-50,230,500,615,-845,280,-1030,700,-1345,1450,-990,1200,-640,1.13450940007873,0.75147383620274,0.615479708670387,0.506223728923823,-2.79825386322156,0.140205436268557,-3,-0.0492069971747833,-1.69502884018942,0.150423917166999,0.460372104909276,0.43588697423769,-1.63478474721228,0.372339917000033,-1.58141194578807,-0.740720484238436,-0.64993083767549
24,"woman",26,"french",20,7,"right-handed",1,400.193181818182,336.551724137931,231.167593622544,0.858333333333333,0.928571428571429,0.833333333333333,189.566037735849,136.481481481481,623.229432624114,1295,-1155,550,900,1000,-25,385,820,760,1240,240,1065,1180,2320,1295,1.30024656381632,1.20623764232681,1.15026199151093,0.904178934512276,-1.29810888955208,-0.9656296218114,-0.466824898992945,0.964351902838182,0.349447756183035,0.404908491667787,-0.465130006361956,-0.892642239546175,-0.122519803894458,0.281319139939369,0.282324920009424,-1.05212691696989,-0.162827619007031
25,"man",20,"french",16,7,"right-handed",1,449.471264367816,101.964387464387,161.929198966408,0.941666666666667,0.785714285714286,0.833333333333333,161.592592592593,8.81833333333338,356.440838404327,3020,-710,100,630,3000,3095,1445,2695,2600,4170,2790,4935,-1350,5720,3020,1.08952095285255,1.36346742528384,1.15026199151093,0.13538113085731,0.757039446859784,-0.337448110652023,0.888088345563927,-0.324332020769649,0.349447756183035,1.021518716065,1.04684429002684,0.217599827307531,1.22562336262918,0.734581378983053,0.304401360325771,0.212397054505097,0.417126597937974
26,"man",20,"french",13,9,"right-handed",1,394.126436781609,23.3681318681319,184.649419729207,0.85,0.607142857142857,0.333333333333333,176.43137254902,-65.6162962962964,517.785630498534,2140,-100,150,840,1250,2500,1835,1965,365,1665,1000,1250,1520,2250,2140,0.893378412739926,1.19369195874213,0.615479708670387,0.998827508850658,1.44559734698902,-0.543582621475562,-0.574936177474755,-1.52383376629883,-1.69502884018942,0.694431959612367,1.92840837797037,-0.453837330546304,0.537874964634513,1.2072226154778,-1.26459959465433,0.149392464989051,0.0306718286041713
27,"man",23,"french",15,5.5,"right-handed",1,402.583333333333,101.298850574713,166.902760438341,0.916666666666667,0.714285714285714,0.75,226.037037037037,116.75,484.614601018676,2205,-85,450,840,1000,965,445,930,1290,1465,1110,1415,2205,2000,1470,1.00685368543427,1.30738282468938,1.0471975511966,0.86688967445635,0.762870013211017,-0.382571909041622,0.404784440082555,-0.829880340422405,-0.0445683563584275,-0.399010759176364,-0.231440854383263,-0.315795925751304,0.588674562213665,0.0788126869655747,-0.156554752232759,0.021500726139364,-0.0187471130426068
